SampleID	CDKN2A_Copy
001e6a21-f681-4b02-9b6d-7c30b3025658	3
01fc87db-d40c-4308-93cb-592e8e3c76be	4
039c7b54-a472-4759-b05e-9e28c6414742	4
04fbda30-7370-4eec-809f-4f3ee66b6b92	5
091cb73b-5c4f-4ea9-8044-9479fe5541cf	2
0a65e978-2e1e-4ced-865a-0a442eb8785e	2
0ae4a153-71d2-4018-993e-b872528ee954	4
0b3a3c43-dd41-4b54-8a5c-4a745b2ff947	2
0cd0c6a7-b115-4949-86e8-1a77946b595e	3
0d39ae82-26b6-4372-a8b0-8f90ad4b4b56	2
0dc22e1b-59e9-45c1-b980-ae3b34c5db94	2
0f0a825d-4fc6-4578-a7eb-0d525ced3e56	2
1020896a-732c-4665-adf5-a4a82d71dc9b	2
10af3e18-cd22-4c27-8944-3f1500dade8a	2
114f473c-887b-4238-a610-e168cc3063fb	2
119a8fff-0871-4cbf-8c8c-ea84624ec139	2
141b2fa8-e62d-4c16-a217-99ab5343698e	2
15cc6a31-f819-4d3a-be76-4b25a1373983	2
161c9a15-248c-414e-bac4-a58b8b2eddca	2
19cacaf4-1e80-4d1a-b6a3-10572896912a	2
1e0e569e-de23-4e31-9cef-2c463ad689d3	2
2050cc14-83ff-4d8a-87da-4b673c10f35d	2
217286f6-88d7-4c37-a78a-c523eb517201	5
2233b9a1-cee8-4d0f-a02a-419fcaa7ee3d	2
2255a7f5-c23b-4693-9289-3f39fb084ac4	2
262fee92-f156-46e2-ac2e-ab749d09a9b2	2
26460493-29d8-4b58-a808-7ffccff2403c	2
264b456c-f4c5-4cd6-a505-783d852bd20c	2
26f05977-d2bf-4ad7-9056-616ccd26a72b	3
2a014731-8774-4af7-89d7-ac2ffb15a745	2
2db4a69d-639a-406f-835c-5941043bbef5	2
2ea74c06-2a3d-4f40-a002-938832732c90	2
2ec4f521-ead3-4fbc-adf5-b032dc908ada	3
2f41c57b-88df-4f1a-8828-fd4978baff36	2
33d7aa80-b59a-4ee4-92ed-00711d7f689e	2
3c019fef-6f00-4528-8e43-c8027bd44eff	2
3c136fa9-2f65-419a-abe3-6adc2b6392e0	2
3d3f0546-7960-4d7b-a7ab-6adc0f97b33d	2
3e653526-4aa3-4353-affd-094a89b6b7fa	2
404c42e8-3129-43ea-8de0-1dbb23bbd945	2
40c6dd39-154b-40ad-b7f1-a92fe5fca452	2
40caeb45-e914-4db5-b4f2-458ab032c420	6
41b40d26-7608-4b4b-bacc-4862dde8219d	3
42e5ac2f-be19-4b7d-a943-aabf935923a4	4
435c52e2-1b2c-4e0d-811c-03329541968f	2
4396bfdb-a783-41ca-bfdd-50a8d0c78c24	2
43fd7f47-1592-4444-aa06-2b02dd0eb1e4	2
488f1b1a-773c-466b-ad2a-6e0411b5806f	6
489fb34d-064e-4b90-9346-eea349daa6c1	2
4aada4d1-903b-4c81-91aa-858956035e82	2
4b39818c-7b50-4f90-9104-135c132d83ff	2
4e378589-eade-42d4-a606-20ff9295b8ea	2
4f1dc1f0-67ab-473b-a91c-11c3a7b55b39	2
5091e826-7969-401d-9fbd-62eb63f312fe	2
50b0fe76-44cb-4fdd-9f3b-5e21ec120622	2
